x,l,err_fwd_rel,err_bwd_rel,err_fwd_abs,err_bwd_abs
0.50,0,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
0.50,1,0.000000000000000e+00,1.575776757174084e+01,0.000000000000000e+00,7.878883785870422e+00
0.50,2,0.000000000000000e+00,4.727330271522253e+01,0.000000000000000e+00,5.909162839402817e+00
0.50,3,0.000000000000000e+00,7.503698843686115e-01,0.000000000000000e+00,3.282868244112676e-01
0.50,4,0.000000000000000e+00,1.632561505180358e+01,0.000000000000000e+00,4.719123100911972e+00
0.50,5,0.000000000000000e+00,4.435012264394307e+01,0.000000000000000e+00,3.984581331291761e+00
0.50,6,0.000000000000000e+00,8.664391837029685e-01,0.000000000000000e+00,2.800696970758619e-01
0.50,7,2.487676974214793e-16,1.647102944869867e+01,5.551115123125783e-17,3.675420145534809e+00
0.50,8,7.538290110011837e-16,4.346404828689193e+01,5.551115123125783e-17,3.200645401497504e+00
0.50,9,0.000000000000000e+00,9.115702662791049e-01,0.000000000000000e+00,2.442083612832984e-01
0.50,10,0.000000000000000e+00,1.653616233598245e+01,0.000000000000000e+00,3.112578804566887e+00
0.50,11,4.345541621634321e-16,4.304103325802698e+01,2.775557561562891e-17,2.749090348647212e+00
0.50,12,2.374778476546230e-16,9.353991261622600e-01,5.551115123125783e-17,2.186523200660683e-01
0.50,13,1.673996461587410e-16,1.657294185863246e+01,2.775557561562891e-17,2.747864475737877e+00
0.50,14,4.854610593435975e-16,4.279406001443301e+01,2.775557561562891e-17,2.446692161543033e+00
0.50,15,2.643155295843882e-16,9.500960814354306e-01,5.551115123125783e-17,1.995377545304201e-01
0.50,16,1.852160456681777e-16,1.659653566943371e+01,2.775557561562891e-17,2.487076101147938e+00
0.50,17,5.315445314542637e-16,4.263234955276209e+01,2.775557561562891e-17,2.226126564497309e+00
0.50,18,2.886752043931413e-16,9.600578165212665e-01,5.551115123125783e-17,1.846154911562242e-01
0.50,19,2.014672110324188e-16,1.661294580546700e+01,2.775557561562891e-17,2.288719197228511e+00
0.50,20,5.739558480454395e-16,4.251830717481580e+01,2.775557561562891e-17,2.056116500699385e+00
0.50,21,3.111369928193433e-16,9.672523473111384e-01,5.551115123125783e-17,1.725712228682298e-01
0.50,22,0.000000000000000e+00,1.662501569132775e+01,0.000000000000000e+00,2.131305809379729e+00
0.50,23,1.226903029373158e-15,4.243358577102720e+01,5.551115123125783e-17,1.919904948171428e+00
0.50,24,3.320850393951816e-16,9.726909012129583e-01,5.551115123125783e-17,1.625944722377169e-01
0.50,25,1.152820987936018e-16,1.663426445204939e+01,1.387778780781446e-17,2.002451333037533e+00
0.50,26,6.505598104050572e-16,4.236817532636029e+01,2.775557561562891e-17,1.807601814865929e+00
0.50,27,3.517892252821610e-16,9.769458952782656e-01,5.551115123125783e-17,1.541587616677310e-01
0.50,28,2.438155747962994e-16,1.664157689343152e+01,2.775557561562891e-17,1.894450533830097e+00
0.50,29,3.428333776384778e-16,4.231615360046387e+01,1.387778780781446e-17,1.712944651291768e+00
0.50,30,1.852238580200862e-16,9.803655039222420e-01,2.775557561562891e-17,1.469066089321880e-01
0.50,31,2.563835798276112e-16,1.664750307470439e+01,2.775557561562891e-17,1.802225519715638e+00
0.50,32,0.000000000000000e+00,4.227379396203409e+01,0.000000000000000e+00,1.631749968567024e+00
0.50,33,1.941055446833161e-16,9.831736098191259e-01,2.775557561562891e-17,1.405861409840042e-01
0.50,34,2.683640839324326e-16,1.665240284804749e+01,2.775557561562891e-17,1.722276020166939e+00
0.50,35,5.632353489585145e-16,4.223863469464844e+01,2.081668171172169e-17,1.561102682922950e+00
0.50,36,4.051969376098578e-16,9.855206950695382e-01,5.551115123125783e-17,1.350143183910591e-01
0.50,37,5.596649071514278e-16,1.665652149370762e+01,5.551115123125783e-17,1.652100519094591e+00
0.50,38,1.953989334339416e-16,4.220898452208939e+01,6.938893903907228e-18,1.498901044357315e+00
0.50,39,4.214991718311040e-16,9.875116305552404e-01,5.551115123125783e-17,1.300546030214827e-01
0.50,40,7.271230189084974e-16,1.666003193728136e+01,6.938893903907228e-17,1.589857438732097e+00
0.50,41,6.082929829505126e-16,4.218364318682192e+01,2.081668171172169e-17,1.443586393848552e+00
0.50,42,4.371942024514433e-16,9.892217333488921e-01,5.551115123125783e-17,1.256028486500257e-01
0.50,43,9.043914412636373e-16,1.666305958748206e+01,8.326672684688674e-17,1.534156967657332e+00
0.50,44,1.259229678476432e-15,4.216173537312802e+01,4.163336342344337e-17,1.393975127298701e+00
